"tlx_mental","overallTiATrust","study","overallTiAUnderstanding","perceivedSafetyCombined","Demand","Supply","Understanding","SA"
11,4,"trajectory-pre",2.5,0.75,14,19,13,18
13,4,"trajectory-pre",3.25,1,14,21,14,21
12,4.5,"trajectory-pre",4.25,2.75,9,22,13,26
10,4,"trajectory-pre",4.5,2,14,21,17,24
5,4,"trajectory-pre",4.5,2.75,6,16,17,27
1,4,"trajectory-pre",4,1,13,14,13,14
1,4,"trajectory-pre",4.75,2,5,24,21,40
5,1,"trajectory-pre",2.25,0,20,17,12,9
11,5,"trajectory-pre",3.5,-3,21,22,15,16
7,3.5,"trajectory-pre",4.25,1.25,16,14,17,15
12,4,"trajectory-pre",3,1.75,12,20,16,24
16,3.5,"trajectory-pre",3.5,2.5,21,16,16,11
2,4,"trajectory-pre",4,2,6,13,18,25
18,4.5,"trajectory-pre",4,2.75,15,26,17,28
16,3,"trajectory-pre",3.25,-1.25,14,23,15,24
14,4,"trajectory-pre",3.75,2,14,15,15,16
4,2,"trajectory-pre",3,1.5,12,16,12,16
5,2,"trajectory-pre",4,2,6,19,11,24
4,5,"trajectory-pre",4.5,3,6,17,18,29
4,4,"trajectory-pre",3.75,1,11,12,13,14
7,3,"trajectory-pre",4.25,2.25,16,23,14,21
8,4,"trajectory-pre",3.75,2,10,18,14,22
11,4,"trajectory-pre",3,1.5,15,20,14,19
14,4,"trajectory-pre",2.5,1,15,19,12,16
10,4,"trajectory-pre",4.5,2,14,19,18,23
6,4,"trajectory-pre",4.5,2.75,6,15,17,26
5,4,"trajectory-pre",4,2,6,14,18,26
11,1,"trajectory-pre",2.25,-2.25,16,21,7,12
1,3,"trajectory-pre",3.5,1,12,12,14,14
1,3.5,"trajectory-pre",4.25,1.75,11,27,19,35
3,3,"trajectory-pre",3.5,1,15,15,10,10
20,4,"trajectory-pre",3.5,1.75,21,20,12,11
14,3.5,"trajectory-pre",4,2,14,16,14,16
9,1.5,"trajectory-pre",2.75,-1.75,13,17,13,17
5,3,"trajectory-pre",4.25,2.5,16,23,16,23
3,1.5,"trajectory-pre",4,-2,10,15,9,14
17,4.5,"trajectory-pre",4,2.75,15,26,18,29
8,4,"trajectory-pre",4,1.25,13,14,15,16
15,2,"trajectory-pre",2.5,-0.75,16,24,14,22
7,4,"trajectory-pre",4.5,2,10,19,13,22
17,3,"trajectory-pre",3.25,0,15,21,15,21
13,1,"trajectory-pre",2.75,-1.25,17,20,6,9
13,3,"trajectory-pre",3.25,3,14,18,14,18
11,4,"trajectory-pre",2.5,1,14,18,14,18
13,4,"trajectory-pre",3,1,14,20,14,20
5,2,"trajectory-pre",2.5,3,15,26,12,23
10,4,"trajectory-pre",4.5,2,14,21,18,25
6,4,"trajectory-pre",4,2.75,5,19,18,32
9,4,"trajectory-pre",3.25,2.25,17,22,17,22
1,3,"trajectory-pre",3.25,1,12,13,14,15
1,4,"trajectory-pre",4.75,3,4,20,19,35
2,4,"trajectory-pre",4,2,6,12,18,24
5,2,"trajectory-pre",3,-1,16,18,11,13
14,3,"trajectory-pre",3.5,-0.5,14,17,12,15
5,3,"trajectory-pre",4,2,16,18,14,16
6,3.5,"trajectory-pre",4.25,0.75,13,16,18,21
20,1,"trajectory-pre",3,-0.25,18,23,15,20
17,4.5,"trajectory-pre",4,2.75,15,25,18,28
4,3,"trajectory-pre",4.25,3,17,19,12,14
13,1.5,"trajectory-pre",3.75,1.5,19,20,15,16
10,2.5,"trajectory-pre",2.5,1.25,17,25,13,21
11,2.5,"trajectory-pre",3,1,13,14,12,13
13,3,"trajectory-pre",4,2,12,14,11,13
5,2,"trajectory-pre",4,2.25,8,21,12,25
18,4,"trajectory-pre",3.75,2,18,21,13,16
9,4,"trajectory-pre",3.5,2,12,16,14,18
11,4,"trajectory-pre",3,-0.5,14,21,9,16
11,4,"trajectory-pre",3,1.25,14,19,13,18
10,4,"trajectory-pre",4.5,2,15,22,17,24
1,4,"trajectory-pre",3.5,1,14,19,15,20
6,4.5,"trajectory-pre",4.25,2.75,6,13,17,24
15,3,"trajectory-pre",3.5,3,15,23,9,17
1,3,"trajectory-pre",3,1,13,17,15,19
10,3.5,"trajectory-pre",3.25,1.5,14,19,17,22
1,2.5,"trajectory-pre",2.25,-0.75,19,24,19,24
13,2,"trajectory-pre",2.25,-0.5,17,22,14,19
2,4,"trajectory-pre",4,2,6,13,18,25
5,1,"trajectory-pre",2,-1,19,21,10,12
6,2,"trajectory-pre",3.25,0.5,16,19,14,17
7,4,"trajectory-pre",3.75,1,15,18,9,12
1,5,"trajectory-pre",5,3,21,22,13,14
15,4,"trajectory-pre",3.75,2.5,16,25,18,27
4,2,"trajectory-pre",3.75,2,17,17,11,11
15,4,"trajectory-pre",3.25,2.75,15,22,18,25
12,5,"trajectory-pre",5,3,8,17,16,25
5,4,"trajectory-pre",3.75,1.25,15,16,18,19
1,3,"trajectory-pre",4,3,16,13,9,6
1,5,"trajectory-pre",4.75,3,19,20,7,8
9,4,"trajectory-pre",2.75,2,14,19,16,21
11,3.5,"trajectory-pre",3,1,14,19,14,19
8,4,"trajectory-pre",4.5,2,14,21,17,24
1,4,"trajectory-pre",3.5,1,14,20,13,19
8,4,"trajectory-pre",3.5,1.75,16,19,10,13
5,4,"trajectory-pre",3.25,2,8,15,17,24
11,3,"trajectory-pre",4,2,7,13,13,19
1,4,"trajectory-pre",3,2,12,15,15,18
15,3,"trajectory-pre",3,3,15,22,9,16
5,4,"trajectory-pre",3.5,0.5,17,21,13,17
5,3,"trajectory-pre",3,0.25,16,21,10,15
13,3.5,"trajectory-pre",3,1.75,16,17,14,15
4,3.5,"trajectory-pre",4.25,2.25,9,17,16,24
6,1.5,"trajectory-pre",2.5,-1.25,16,19,10,13
11,3.5,"trajectory-pre",4.25,1,12,18,16,22
15,1,"trajectory-pre",4,-2.25,17,11,9,3
6,3,"trajectory-pre",5,3,10,20,10,20
17,4,"trajectory-pre",3,2,13,17,14,18
1,4,"trajectory-pre",4.5,3,12,24,7,19
5,1,"trajectory-pre",1.5,-2,21,11,8,-2
8,4,"trajectory-pre",4.5,2,11,18,12,19
5,3,"trajectory-pre",4,2,17,18,14,15
11,4,"trajectory-pre",2.75,1.5,14,19,13,18
10,4,"trajectory-pre",4,2,14,21,17,24
1,4,"trajectory-pre",3.5,1,13,21,13,21
